admin1Pcod,ref_data_name
CO91,AMAZONAS
CO05,ANTIOQUIA
CO81,ARAUCA
CO08,ATLANTICO
CO11,BOGOTA D.C.
CO13,BOLIVAR
CO15,BOYACA
CO17,CALDAS
CO18,CAQUETA
CO85,CASANARE
CO19,CAUCA
CO20,CESAR
CO27,CHOCO
CO23,CORDOBA
CO25,CUNDINAMARCA
CO94,GUAINIA
CO95,GUAVIARE
CO41,HUILA
CO44,LA GUAJIRA
CO47,MAGDALENA
CO50,META
CO52,NARIÑO
CO54,NORTE DE SAN
CO86,PUTUMAYO
CO63,QUINDIO
CO66,RISARALDA
CO88,SAN ANDRES
CO68,SANTANDER
CO70,SUCRE
CO73,TOLIMA
CO76,VALLE
CO97,VAUPES
CO99,VICHADA
