"admin2Pcod","mesas_informadas","mesas_instaladas","personas_habilitadas","votos_validos","votos_no_marcados","votos_nulos","votos_si","votos_no"
"CO73449",65,65,27553,10765,47,130,3102,7663
"CO73461",10,10,3782,1099,14,56,409,690
"CO73483",38,38,15411,5301,41,78,2970,2331
"CO73504",63,63,23729,8119,159,227,3247,4872
"CO73520",17,17,7468,2415,24,49,1003,1412
"CO73547",14,14,5387,1933,10,25,974,959
"CO73555",47,47,19662,5899,108,198,2818,3081
"CO73563",21,21,7933,2920,36,43,1121,1799
"CO73585",49,49,20186,8184,50,105,4045,4139
"CO73616",41,41,16033,4526,133,119,2209,2317
"CO73622",11,11,4175,1496,22,48,768,728
"CO73624",52,52,19506,6063,57,152,1776,4287
"CO73671",29,29,12416,4417,22,53,1463,2954
"CO73675",25,25,10013,3867,83,94,1097,2770
"CO73678",28,28,10802,4233,54,57,1638,2595
"CO73686",16,16,5802,1741,19,31,485,1256
"CO73770",11,11,4386,1795,3,15,700,1095
"CO73854",14,14,4942,1462,12,26,673,789
"CO73861",29,29,11721,4407,29,52,1929,2478
"CO73870",22,22,7181,2337,43,39,605,1732
"CO73873",15,15,5204,1741,10,42,671,1070
"CO76001",3617,3617,1637938,589451,2298,4496,319949,269502
"CO76020",27,27,11192,3690,41,69,1804,1886
"CO76036",47,47,19548,6724,40,101,3505,3219
"CO76041",53,53,19269,5276,49,80,1667,3609
"CO76054",19,19,6426,1906,19,30,923,983
"CO76100",38,38,13389,4824,65,75,2065,2759
"CO76109",517,517,219150,60235,629,1525,42565,17670
"CO76111",236,236,100078,41528,202,551,20956,20572
"CO76113",50,50,19020,6911,54,136,3977,2934
"CO76122",72,72,28321,9992,143,186,3886,6106
"CO76126",42,42,13908,4587,41,77,2238,2349
"CO76130",154,154,68548,23423,136,440,10898,12525
"CO76147",262,262,111785,38946,222,554,14845,24101
"CO76233",96,96,35005,10524,80,150,4666,5858
"CO76243",30,30,8127,2820,20,56,871,1949
"CO76246",21,21,6723,1851,52,32,932,919
"CO76248",118,118,51868,18112,101,263,9380,8732
"CO76250",30,30,9808,2959,32,51,972,1987
"CO76275",124,124,50135,18260,219,347,10354,7906
"CO76306",43,43,16309,6445,75,99,3182,3263
"CO76318",68,68,27420,10341,61,184,5786,4555
"CO76364",222,222,96350,33725,161,518,18060,15665
"CO76377",32,32,12758,4059,29,44,2037,2022
"CO76400",66,66,26489,10178,81,170,2792,7386
"CO76403",30,30,11609,4164,41,55,1930,2234
"CO76497",30,30,11185,3549,27,81,1579,1970
"CO76520",619,619,261731,99709,509,1162,54278,45431
"CO76563",102,102,39766,14837,120,258,7574,7263
"CO76606",40,40,14911,4351,38,58,1777,2574
"CO76616",42,42,15859,5168,44,98,2103,3065
"CO76622",78,78,28313,11003,56,115,4631,6372
"CO76670",41,41,14680,5397,34,75,2708,2689
"CO76736",95,95,37835,12820,157,335,6589,6231
"CO76823",36,36,12667,3805,44,77,1383,2422
"CO76828",45,45,15793,5256,60,85,1960,3296
"CO76834",366,366,157134,60615,436,1001,27738,32877
"CO76845",14,14,4636,1621,25,28,909,712
"CO76863",28,28,7989,2613,35,38,963,1650
"CO76869",27,27,10404,3366,36,35,1812,1554
"CO76890",39,39,14310,4966,33,61,2358,2608
"CO76892",223,223,96839,34347,171,470,18095,16252
"CO76895",89,89,36664,13212,67,263,6632,6580
"CO97001",39,39,15576,3577,20,30,2705,872
"CO97161",5,5,1721,458,0,7,382,76
"CO97511",4,4,1080,186,1,3,170,16
"CO97666",4,4,1377,308,36,1,243,65
"CO97777",1,1,109,19,0,0,18,1
"CO97889",4,4,1035,315,1,0,278,37
"CO99001",44,44,17433,4734,24,62,2185,2549
"CO99524",19,19,7267,2448,23,33,661,1787
"CO99624",7,7,3013,1265,6,13,576,689
"CO99773",52,52,19420,3669,42,52,2717,952
