"admin2Pcod","mesas_informadas","mesas_instaladas","personas_habilitadas","votos_validos","votos_no_marcados","votos_nulos","votos_si","votos_no"
"CO41026",7,7,2991,1000,5,11,439,561
"CO41078",16,16,5983,2263,27,17,1206,1057
"CO41132",58,58,24718,9945,63,173,3811,6134
"CO41206",18,18,6752,2383,33,26,952,1431
"CO41244",8,8,3169,1327,14,14,645,682
"CO41298",115,115,51641,18457,158,287,6356,12101
"CO41306",45,45,18633,6931,65,188,2668,4263
"CO41319",29,29,12391,4463,35,83,1331,3132
"CO41349",13,13,5571,2255,16,42,1005,1250
"CO41357",18,18,6862,2837,24,40,1110,1727
"CO41359",42,42,18179,7467,101,155,2041,5426
"CO41378",24,24,9990,2894,46,69,1291,1603
"CO41396",90,90,40433,13666,114,205,4475,9191
"CO41483",11,11,4497,1728,22,20,604,1124
"CO41503",18,18,7370,3093,36,45,847,2246
"CO41518",11,11,4738,2126,22,27,604,1522
"CO41524",50,50,20533,7715,37,79,2901,4814
"CO41530",20,20,8509,3022,34,64,1146,1876
"CO41548",22,22,9123,3581,22,55,1016,2565
"CO41551",200,200,89760,30656,179,405,10660,19996
"CO41615",38,38,16199,6365,40,90,2919,3446
"CO41660",22,22,8635,3356,38,53,1420,1936
"CO41668",56,56,23344,8393,93,144,2741,5652
"CO41676",19,19,7921,3257,26,47,939,2318
"CO41770",29,29,11911,3210,41,56,1027,2183
"CO41791",29,29,11492,4442,31,59,1427,3015
"CO41797",19,19,7879,3347,24,60,788,2559
"CO41799",27,27,10814,4019,37,83,1899,2120
"CO41801",16,16,6481,2537,11,36,738,1799
"CO41807",36,36,15078,5912,64,65,1441,4471
"CO41872",17,17,6524,2566,22,44,1480,1086
"CO41885",17,17,6750,2939,5,39,1137,1802
"CO44001",262,262,111639,27705,287,298,17613,10092
"CO44078",59,59,23913,6368,13,73,4562,1806
"CO44090",50,50,20549,4615,49,68,3306,1309
"CO44098",23,23,8243,2479,12,31,1587,892
"CO44110",16,16,6765,2480,9,21,1644,836
"CO44279",62,62,25836,8865,40,101,6402,2463
"CO44378",33,33,14034,4150,31,59,2846,1304
"CO44420",10,10,3839,1181,0,15,861,320
"CO44430",270,270,120312,20329,257,187,10766,9563
"CO44560",124,124,52567,3186,30,44,1768,1418
"CO44650",87,87,31264,9168,66,158,4484,4684
"CO44847",283,283,118050,7359,106,108,4046,3313
"CO44855",19,19,7997,3183,10,32,2042,1141
"CO44874",41,41,18149,5915,50,79,3490,2425
"CO47001",724,724,322962,92960,461,767,49797,43163
"CO47030",23,23,9422,1992,21,28,1525,467
"CO47053",64,64,26547,1517,8,25,962,555
"CO47058",51,51,21723,5504,79,51,3393,2111
"CO47161",22,22,8394,2409,11,23,2184,225
"CO47170",33,33,13108,3555,25,39,2827,728
"CO47189",187,187,81617,17299,388,117,8629,8670
"CO47205",25,25,10564,2592,15,16,2251,341
"CO47245",109,109,46365,12275,141,152,6883,5392
"CO47258",34,34,13197,3035,32,22,2506,529
"CO47268",30,30,12752,2732,144,27,1932,800
"CO47288",112,112,51126,8917,35,97,4609,4308
"CO47318",62,62,22148,4632,47,36,2989,1643
"CO47460",34,34,14283,2975,20,18,1770,1205
"CO47541",24,24,8926,1892,20,14,1340,552
"CO47545",23,23,7813,2459,22,24,1557,902
"CO47551",69,69,28335,7246,48,84,6313,933
"CO47555",96,96,39220,9615,92,98,6312,3303
"CO47570",49,49,20274,3877,108,37,1957,1920
"CO47605",19,19,7037,1916,12,15,1716,200
"CO47660",28,28,10380,1818,33,17,1090,728
"CO47675",18,18,7454,1295,8,10,738,557
"CO47692",43,43,15820,5021,32,41,3903,1118
"CO47703",21,21,7946,2795,21,14,2298,497
"CO47707",37,37,15232,4214,27,37,2301,1913
"CO47720",22,22,7978,2120,15,21,1737,383
"CO47745",42,42,17808,2413,88,19,1649,764
"CO47798",28,28,9842,2907,28,39,2469,438
"CO47960",20,20,7739,2608,19,21,2119,489
"CO47980",103,103,42952,3575,22,25,2307,1268
"CO50001",786,786,343296,157463,400,1757,56633,100830
"CO50006",131,131,56070,29491,130,663,7978,21513
"CO50110",12,12,4287,1717,11,34,613,1104
"CO50124",12,12,4569,1900,13,30,718,1182
"CO50150",26,26,10531,6089,36,149,1739,4350
"CO50223",12,12,4902,1987,15,30,602,1385
"CO50226",41,41,15494,7555,31,115,2456,5099
"CO50245",7,7,1707,664,11,11,354,310
"CO50251",14,14,5374,2021,31,34,1247,774
"CO50270",9,9,2794,1347,11,13,570,777
"CO50287",24,24,9442,3709,31,75,1556,2153
"CO50313",110,110,48638,19422,125,421,7007,12415
"CO50318",25,25,10375,5394,15,62,1316,4078
"CO50325",17,17,5394,1202,12,33,697,505
"CO50330",19,19,7585,2969,30,46,1843,1126
"CO50350",20,20,7900,3038,19,51,2238,800
"CO50370",12,12,4724,2176,24,14,2036,140
"CO50400",20,20,7903,2923,39,92,1287,1636
"CO50450",15,15,5998,2172,31,61,1198,974
"CO50568",55,55,22483,8450,254,188,2813,5637
"CO50573",55,55,22839,9182,47,126,2564,6618
"CO50577",17,17,6338,2248,24,41,997,1251
"CO50590",20,20,7957,2996,23,79,1443,1553
"CO50606",34,34,14935,6021,23,60,2464,3557
"CO50680",19,19,7764,3573,22,59,1179,2394
"CO50683",17,17,5998,2226,18,48,1064,1162
"CO50686",6,6,1263,572,6,8,309,263
"CO50689",44,44,17621,7755,47,99,2162,5593
"CO50711",30,30,12070,4903,74,126,2593,2310
"CO52001",648,648,279784,112335,501,1505,70354,41981
"CO52019",16,16,6438,2854,65,65,1244,1610
"CO52022",14,14,5756,2566,38,52,1298,1268
"CO52036",22,22,7235,2314,32,35,1683,631
"CO52051",15,15,5703,2390,54,67,1154,1236
"CO52079",65,65,20859,4222,76,63,3159,1063
"CO52083",14,14,5328,2352,35,32,1418,934
"CO52110",42,42,16930,5835,85,109,2921,2914
"CO52203",19,19,6620,2607,73,127,1573,1034
"CO52207",28,28,8497,3403,55,83,1969,1434
"CO52210",16,16,5544,1939,23,25,1036,903
"CO52215",27,27,10104,3439,72,53,2138,1301
"CO52224",17,17,7169,2627,43,37,1245,1382
"CO52227",55,55,23407,8506,131,216,5421,3085
"CO52233",19,19,6203,2418,19,25,2119,299
"CO52240",26,26,9510,3804,43,50,2377,1427
"CO52250",42,42,15747,5064,97,60,4599,465
"CO52254",15,15,5357,2866,33,58,2312,554
"CO52256",20,20,6649,2582,19,42,2344,238
"CO52258",28,28,10814,4537,84,109,2980,1557
"CO52260",28,28,11253,5039,99,108,3563,1476
"CO52287",17,17,5549,2312,38,31,1575,737
"CO52317",33,33,14068,4449,54,78,2511,1938
"CO52320",30,30,10811,3055,51,47,2255,800
"CO52323",13,13,5077,2336,15,32,1404,932
"CO52352",17,17,6900,2287,37,45,1430,857
"CO52354",20,20,6314,2068,33,28,1156,912
"CO52356",204,204,92217,31706,617,503,15864,15842
"CO52378",36,36,13571,5498,105,87,2846,2652
"CO52381",24,24,8949,3140,48,39,2292,848
"CO52385",9,9,3376,1396,36,58,996,400
"CO52390",14,14,4996,1944,8,23,1710,234
"CO52399",60,60,21535,7447,125,164,3200,4247
"CO52405",22,22,7254,2882,47,44,2605,277
"CO52411",24,24,8485,3499,69,64,3047,452
"CO52418",20,20,7132,3149,70,60,2426,723
"CO52427",24,24,6221,2286,24,34,2129,157
"CO52435",19,19,5984,1829,30,38,1154,675
"CO52473",21,21,5897,2199,13,22,1975,224
"CO52480",10,10,4120,1637,15,21,988,649
"CO52490",37,37,13572,3204,34,36,2632,572
"CO52506",17,17,5668,1739,38,26,1102,637
"CO52520",21,21,6308,1579,15,27,1332,247
"CO52540",27,27,9537,4151,55,51,3690,461
"CO52560",26,26,9425,3399,48,63,1590,1809
"CO52565",10,10,4259,1814,50,26,1586,228
"CO52573",19,19,7410,3188,34,70,2191,997
"CO52585",34,34,14600,5830,63,140,2820,3010
"CO52612",41,41,13557,2921,79,48,1947,974
"CO52621",29,29,8368,2333,10,22,2135,198
"CO52678",65,65,22140,8431,69,166,7072,1359
"CO52683",40,40,15906,6554,107,112,4208,2346
"CO52685",15,15,6072,3064,57,50,1892,1172
"CO52687",32,32,12768,4523,98,158,2812,1711
"CO52693",31,31,11317,3574,92,93,2353,1221
"CO52694",14,14,5234,2047,49,52,1058,989
"CO52696",22,22,6997,2435,12,24,2229,206
"CO52699",21,21,6875,1814,54,39,1301,513
"CO52720",15,15,5628,1804,21,32,1089,715
"CO52786",34,34,13578,4820,100,94,3792,1028
"CO52788",26,26,9879,3126,26,46,1659,1467
"CO52835",400,400,121788,33054,503,709,23534,9520
"CO52838",86,86,34090,9905,147,268,6384,3521
"CO52885",20,20,8133,3203,61,88,2169,1034
"CO54001",1236,1236,542712,241314,1325,3088,83572,157742
"CO54003",60,60,21133,6244,56,77,2095,4149
"CO54051",20,20,6826,2985,53,58,907,2078
"CO54099",17,17,6046,2866,25,50,1080,1786
"CO54109",12,12,4108,1398,30,70,413,985
"CO54125",6,6,2156,845,4,24,413,432
"CO54128",24,24,6959,2591,15,28,531,2060
"CO54172",27,27,11426,5334,29,90,1983,3351
"CO54174",21,21,7562,2785,45,78,1056,1729
"CO54206",40,40,14827,3512,83,137,2101,1411
"CO54223",16,16,6168,2788,79,72,938,1850
"CO54239",12,12,4279,1888,13,32,1003,885
"CO54245",36,36,10030,2903,38,118,1515,1388
"CO54250",29,29,11167,3089,41,92,2827,262
"CO54261",48,48,20243,7794,67,181,2770,5024
"CO54313",13,13,4850,1885,23,38,632,1253
"CO54344",20,20,6906,1746,34,59,1562,184
"CO54347",9,9,3574,1146,18,28,377,769
"CO54377",13,13,4905,1659,18,32,877,782
"CO54385",25,25,8292,2962,43,55,1021,1941
"CO54398",17,17,6626,1503,32,39,734,769
"CO54405",175,175,78165,28480,58,293,7986,20494
"CO54418",8,8,3214,1221,25,53,317,904
"CO54480",7,7,2664,1104,9,21,499,605
"CO54498",175,175,76057,27473,126,378,10753,16720
"CO54518",89,89,43064,18585,85,293,6506,12079
"CO54520",9,9,3796,1755,41,46,577,1178
"CO54553",30,30,13119,2198,10,28,591,1607
"CO54599",16,16,6440,1688,17,23,422,1266
"CO54660",22,22,7487,3003,47,106,974,2029
"CO54670",25,25,6979,2514,25,68,2393,121
"CO54673",17,17,6918,2203,8,33,694,1509
"CO54680",9,9,3311,1421,8,30,642,779
"CO54720",55,55,17063,5716,78,119,1991,3725
"CO54743",11,11,3968,1359,15,18,259,1100
"CO54800",28,28,9725,2809,45,99,2429,380
"CO54810",77,77,31208,8855,99,228,5847,3008
"CO54820",33,33,12026,4114,61,135,1311,2803
"CO54871",9,9,3727,1217,21,23,297,920
"CO54874",170,170,79404,26486,78,275,6360,20126
"CO86001",87,87,35245,12823,84,159,7718,5105
"CO86219",10,10,4244,1876,17,19,1072,804
"CO86320",63,63,25937,7985,86,155,6165,1820
"CO86568",102,102,41742,10806,145,207,6267,4539
"CO86569",23,23,8922,2749,50,79,1947,802
"CO86571",29,29,10561,3008,41,57,2176,832
"CO86573",36,36,14436,3726,29,39,2031,1695
"CO86749",24,24,10309,4282,75,77,2499,1783
"CO86755",11,11,4710,1918,35,45,1069,849
"CO86757",28,28,11779,3375,56,56,2816,559
"CO86760",14,14,5929,2240,32,48,1359,881
"CO86865",56,56,23170,7734,78,105,6655,1079
"CO86885",39,39,15777,5626,54,114,2869,2757
"CO63001",568,568,247873,102884,913,1205,43835,59049
"CO63111",7,7,2857,1005,6,17,441,564
"CO63130",136,136,58297,23324,262,377,8767,14557
"CO63190",57,57,21943,9180,53,131,3343,5837
"CO63212",12,12,5090,1900,25,35,872,1028
"CO63272",27,27,10343,4149,39,68,1522,2627
"CO63302",18,18,7384,2726,29,55,987,1739
"CO63401",65,65,27501,10854,98,204,4032,6822
"CO63470",77,77,33103,11538,108,227,3398,8140
"CO63548",17,17,6022,2338,13,34,815,1523
"CO63594",68,68,29792,11684,211,154,4528,7156
"CO63690",16,16,5762,2519,27,32,853,1666
"CO66001",891,891,393135,162661,836,2278,75063,87598
"CO66045",25,25,10487,3669,47,84,1265,2404
"CO66075",15,15,5565,1965,23,44,891,1074
"CO66088",52,52,21462,6917,73,143,2639,4278
"CO66170",354,354,154003,66050,364,1044,28055,37995
"CO66318",26,26,10351,3683,45,67,1240,2443
"CO66383",15,15,6500,2365,33,59,903,1462
"CO66400",68,68,31403,12081,120,210,4852,7229
