"displ_1999","displ_2000","displ_2001","displ_2002","displ_2003","displ_2004","displ_2005","displ_2006","displ_2007","displ_2008","displ_2009","displ_2010","displ_2011","displ_2012","displ_2013","displ_2014","admin2Pcod","displ_mean"
0,222,413,282,311,86,90,26,42,97,76,41,84,43,34,13,"CO05440",116.25
0,0,212,0,46,19,0,NA,7,8,NA,28,3,32,35,2,"CO05467",28
0,3057,770,14,0,294,47,NA,37,25,NA,45,0,39,38,6,"CO05475",312.285714285714
1080,198,207,125,10,84,0,3092,286,318,411,229,37,596,278,50,"CO05480",437.5625
0,0,10,30,260,151,164,1366,122,21,23,110,50,85,168,61,"CO05483",163.8125
55,52,116,78,0,21,0,NA,40,2,34,284,4,245,280,65,"CO05490",85.0666666666667
100,0,125,0,0,43,223,14,63,500,112,1640,248,388,267,106,"CO05495",239.3125
0,0,0,0,0,0,0,NA,0,0,NA,34,0,4,27,8,"CO05501",5.21428571428571
0,72,389,22,437,24,0,50,3,9,16,26,17,67,21,26,"CO05541",73.6875
0,400,5535,0,24,396,0,NA,8,11,7,222,7,30,67,23,"CO05543",448.666666666667
0,0,0,25,0,12,0,NA,0,1,5,22,4,47,30,3,"CO05576",9.93333333333333
0,0,108,79,48,10,55,9,4,57,48,471,86,473,518,104,"CO05579",129.375
5,0,1250,870,4,25,38,NA,34,5,7,69,4,91,51,42,"CO05585",166.333333333333
39,0,897,178,182,125,57,11,73,45,27,85,31,46,62,7,"CO05591",116.5625
281,450,715,30,41,13,28,27,792,40,80,155,124,1006,498,59,"CO05604",271.1875
0,322,296,4,1,25,0,NA,7,36,NA,4,8,9,10,0,"CO05607",51.5714285714286
0,400,394,417,620,746,241,171,212,247,154,69,181,138,60,31,"CO05615",255.0625
95,15,415,0,0,5,0,NA,1,0,9,147,15,91,129,42,"CO05628",64.2666666666667
0,0,131,74,63,14,32,NA,60,28,35,123,56,20,12,9,"CO05631",43.8
75,0,0,40,12,31,0,NA,6,18,31,111,39,232,100,49,"CO05642",49.6
0,0,30,0,0,20,17,NA,9,22,14,66,35,144,93,38,"CO05647",32.5333333333333
233,80,245,562,1680,2120,35,15,59,113,36,137,62,56,30,11,"CO05649",342.125
27,500,79,0,1760,2901,542,12,191,72,NA,28,18,41,9,18,"CO05652",413.2
0,0,35,0,0,0,0,NA,0,NA,NA,13,11,5,9,2,"CO05656",5.76923076923077
0,0,0,0,0,0,0,NA,0,0,NA,18,0,17,27,0,"CO05658",4.42857142857143
0,93,0,17,0,5,31,NA,101,29,24,91,26,207,164,63,"CO05659",56.7333333333333
291,1600,1894,766,2893,1084,20,16,75,65,64,76,43,54,33,7,"CO05660",561.3125
0,0,0,3,29,8,0,NA,0,1,6,75,11,109,98,19,"CO05664",23.9333333333333
116,0,651,6,6,74,0,19,57,59,40,215,35,153,146,70,"CO05665",102.9375
83,2500,127,905,28,1248,47,79,55,262,67,105,47,39,35,4,"CO05667",351.9375
0,0,0,0,775,66,24,NA,2,29,23,84,47,69,92,14,"CO05670",81.6666666666667
0,85,114,125,53,17,0,14,16,11,17,63,10,63,24,11,"CO05674",38.9375
0,52,158,33,17,23,0,NA,19,34,40,43,21,30,53,21,"CO05679",36.2666666666667
0,66,40,2,6,0,0,NA,28,NA,6,27,84,376,126,31,"CO05686",56.5714285714286
232,40,311,5,7,15,20,NA,36,13,3,58,26,42,73,29,"CO05690",60.6666666666667
68,1380,449,83,212,40,68,27,10,NA,23,5,52,19,21,0,"CO05697",163.8
30,240,158,70,269,27,141,11,56,112,113,397,53,2063,1134,169,"CO05736",315.1875
0,80,192,342,1030,215,108,43,145,804,705,229,90,166,110,38,"CO05756",268.5625
0,0,0,27,3,0,9,NA,3,0,19,158,17,46,49,28,"CO05761",23.9333333333333
18,30,148,0,0,5,0,NA,0,3,NA,9,18,38,19,3,"CO05789",20.7857142857143
0,0,1500,0,19,31,46,115,170,3908,1544,1261,3132,1030,2182,353,"CO05790",955.6875
0,0,0,0,0,0,0,NA,2,0,NA,11,10,17,6,0,"CO05792",3.28571428571429
0,0,0,2,0,0,0,NA,0,NA,NA,6,2,14,19,12,"CO05809",4.23076923076923
830,0,45,0,0,10,0,NA,0,3,NA,127,13,159,90,39,"CO05819",94
500,136,350,215,276,464,228,104,276,622,780,937,8935,1823,1981,534,"CO05837",1135.0625
170,450,435,24,5,0,26,9,37,15,16,145,44,119,78,21,"CO05842",99.625
